[146, 159, 161]
[143, 155, 158]
[140, 153, 155]
[137, 150, 153]
[135, 149, 152]
[129, 132, 110]
[116, 118, 97]
[108, 108, 87]
[106, 103, 81]
[114, 109, 83]
[124, 118, 89]
[131, 126, 99]
[130, 127, 103]
[117, 117, 100]
[102, 104, 95]
[92, 96, 93]
[96, 101, 101]
[119, 124, 125]
[135, 140, 142]
[151, 156, 157]
[164, 168, 167]
[170, 176, 174]
[169, 177, 175]
[163, 174, 173]
[156, 170, 172]
[150, 165, 170]
[145, 161, 169]
[144, 160, 170]
[143, 159, 170]
[141, 158, 169]
[139, 158, 169]
[136, 158, 169]
[130, 154, 166]
[121, 146, 160]
[114, 138, 155]
[102, 124, 143]
[98, 116, 138]
[100, 115, 136]
[103, 114, 134]
[109, 119, 136]
[116, 125, 139]
[126, 134, 145]
[133, 141, 149]
[137, 146, 152]
[141, 151, 153]
[143, 154, 154]
[147, 160, 160]
[149, 163, 163]
[149, 163, 165]
[149, 163, 166]
[147, 160, 164]
[142, 154, 158]
[136, 149, 151]
[131, 144, 146]
[122, 134, 137]
[134, 133, 104]
[122, 123, 94]
[113, 112, 81]
[111, 107, 75]
[122, 115, 78]
[132, 124, 87]
[144, 136, 100]
[141, 138, 108]
[128, 126, 104]
[115, 117, 103]
[99, 102, 94]
[88, 93, 89]
[96, 101, 100]
[116, 120, 120]
[138, 141, 140]
[156, 157, 156]
[164, 167, 165]
[167, 172, 171]
[162, 171, 171]
[156, 170, 172]
[150, 165, 170]
[145, 161, 169]
[143, 160, 169]
[142, 160, 170]
[141, 159, 170]
[139, 158, 169]
[135, 157, 168]
[126, 151, 163]
[116, 141, 154]
[107, 130, 147]
[101, 122, 141]
[99, 115, 136]
[101, 115, 135]
[104, 115, 134]
[109, 119, 135]
[115, 124, 137]
[125, 134, 143]
[132, 140, 147]
[137, 146, 150]
[141, 151, 154]
[146, 156, 157]
[149, 162, 162]
[150, 164, 165]
[150, 165, 168]
[147, 162, 167]
[140, 154, 159]
[134, 147, 150]
[127, 138, 139]
[121, 131, 131]
[113, 122, 121]
[139, 139, 104]
[132, 132, 96]
[125, 123, 87]
[127, 122, 80]
[133, 127, 83]
[141, 134, 87]
[150, 144, 103]
[146, 142, 110]
[129, 129, 106]
[122, 124, 108]
[103, 108, 99]
[89, 94, 89]
[87, 92, 89]
[103, 105, 103]
